As of Date,Company,Account,AU,Currency,Primary Account,Secondary Account,GL Balance,iHub Balance,Balance Difference,Match Status
22-12-2022,3,350824,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,73312,73312,0,Match
22-12-2022,1,521127,62695,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,4357,4357,0,Match
22-12-2022,1,605563,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,81437,81437,0,Match
23-12-2022,0,959126,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,17079,17079,0,Match
23-12-2022,2,731067,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,25336,25336,0,Match
23-12-2022,3,618986,4929,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,8792,8792,0,Match
24-12-2022,0,232256,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,19911,19911,0,Match
24-12-2022,0,408013,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,98054,66207,31847,Break
24-12-2022,0,861486,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,82154,82154,0,Match
24-12-2022,0,408013,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,12012,12012,0,Match
24-12-2022,0,861486,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,21221,21221,0,Match
24-12-2022,3,954576,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,25116,25116,0,Match
25-12-2022,0,941109,4929,USD,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,45650,45650,0,Match
25-12-2022,0,959126,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,69886,69886,0,Match
26-12-2022,0,959126,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,24770,24770,0,Match
26-12-2022,0,232256,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,51580,44361,7219,Break
26-12-2022,0,941109,4929,USD,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,35313,35313,0,Match
26-12-2022,1,287558,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,46009,46009,0,Match
26-12-2022,1,521127,62695,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,43779,84357,-40578,Break
27-12-2022,3,618986,4929,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,48911,69699,-20788,Break
28-12-2022,2,812567,62695,USD,ALL OTHER DEFERRED,ALL OTHER DEFERRED,45693,45693,0,Match
28-12-2022,0,959126,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,75981,75981,0,Match
28-12-2022,0,861486,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,13536,13536,0,Match
28-12-2022,0,959126,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,61217,61217,0,Match
29-12-2022,2,731067,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,19287,13711,5576,Break
29-12-2022,0,221956,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,51147,51147,0,Match
29-12-2022,1,287558,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,17339,17339,0,Match
29-12-2022,0,926960,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,12006,12006,0,Match
30-12-2022,0,285384,62695,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,97196,98256,-1060,Break
31-12-2022,0,408013,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,14294,86868,-72574,Break
31-12-2022,3,350824,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,3365,3365,0,Match
01-01-2023,2,812567,62695,USD,ALL OTHER DEFERRED,ALL OTHER DEFERRED,2317,2317,0,Match
01-01-2023,2,731067,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,43824,43824,0,Match
02-01-2023,1,605563,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,88114,88114,0,Match
02-01-2023,0,941109,4929,USD,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,37944,37944,0,Match
03-01-2023,2,791584,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,80676,80676,0,Match
03-01-2023,0,593032,62695,GBP,ALL OTHER DEFERRED,ALL OTHER DEFERRED,36497,31821,4676,Break
03-01-2023,1,851591,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,44860,44860,0,Match
04-01-2023,0,232256,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,42700,42700,0,Match
04-01-2023,0,232256,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,19933,19933,0,Match
05-01-2023,1,521127,62695,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,38826,38826,0,Match
05-01-2023,1,605563,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,16193,81889,-65696,Break
05-01-2023,1,605563,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,52210,52210,0,Match
06-01-2023,0,959126,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,49675,23414,26261,Break
06-01-2023,1,605563,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,39426,39426,0,Match
06-01-2023,3,107844,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,58602,58602,0,Match
06-01-2023,0,232256,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,21252,19696,1556,Break
07-01-2023,0,959126,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,68244,68244,0,Match
07-01-2023,0,221956,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,27010,27010,0,Match
07-01-2023,3,107844,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,36505,36505,0,Match
08-01-2023,1,851591,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,61125,61125,0,Match
08-01-2023,2,812567,62695,USD,ALL OTHER DEFERRED,ALL OTHER DEFERRED,31453,31453,0,Match
08-01-2023,0,959126,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,83175,83175,0,Match
08-01-2023,2,731067,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,33027,33027,0,Match
09-01-2023,1,605563,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,47698,57681,-9983,Break
09-01-2023,1,851591,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,29506,29506,0,Match
10-01-2023,0,861486,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,58847,58847,0,Match
10-01-2023,1,287558,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,14486,14486,0,Match
10-01-2023,2,791584,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,11367,11367,0,Match
10-01-2023,1,521127,62695,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,65114,65114,0,Match
11-01-2023,2,812567,62695,USD,ALL OTHER DEFERRED,ALL OTHER DEFERRED,46164,26179,19985,Break
12-01-2023,0,941109,4929,USD,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,64965,67457,-2492,Break
12-01-2023,3,954576,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,14305,14305,0,Match
13-01-2023,1,851591,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,46820,46820,0,Match
13-01-2023,1,605563,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,97175,97175,0,Match
13-01-2023,3,618986,4929,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,95842,92271,3571,Break
13-01-2023,3,107844,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,43361,43361,0,Match
13-01-2023,0,959126,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,76033,96863,-20830,Break
13-01-2023,3,954576,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,52268,52268,0,Match
14-01-2023,0,408013,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,18348,80593,-62245,Break
14-01-2023,0,959126,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,71222,37452,33770,Break
14-01-2023,2,791584,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,46867,46867,0,Match
15-01-2023,2,812567,62695,USD,ALL OTHER DEFERRED,ALL OTHER DEFERRED,92507,80622,11885,Break
16-01-2023,0,221956,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,77400,77400,0,Match
16-01-2023,0,941109,4929,USD,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,38575,38575,0,Match
17-01-2023,3,107844,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,68819,68819,0,Match
18-01-2023,1,605563,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,84027,84027,0,Match
19-01-2023,3,350824,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,36631,36631,0,Match
19-01-2023,3,618986,4929,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,51265,51265,0,Match
20-01-2023,1,851591,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,53645,53645,0,Match
20-01-2023,3,618986,4929,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,81738,31744,49994,Break
20-01-2023,0,221956,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,70676,3375,67301,Break
20-01-2023,3,350824,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,17155,58716,-41561,Break
21-01-2023,1,521127,62695,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,18542,18542,0,Match
21-01-2023,0,959126,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,92450,79465,12985,Break
22-01-2023,0,959126,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,23424,53721,-30297,Break
24-01-2023,3,107844,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,17938,39475,-21537,Break
24-01-2023,1,851591,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,93558,93558,0,Match
24-01-2023,0,593032,62695,GBP,ALL OTHER DEFERRED,ALL OTHER DEFERRED,16647,16647,0,Match
25-01-2023,0,593032,62695,GBP,ALL OTHER DEFERRED,ALL OTHER DEFERRED,35266,73866,-38600,Break
25-01-2023,0,232256,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,98715,98715,0,Match
26-01-2023,0,959126,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,47573,70839,-23266,Break
26-01-2023,3,350824,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,9967,13344,-3377,Break
26-01-2023,2,812567,62695,USD,ALL OTHER DEFERRED,ALL OTHER DEFERRED,867,867,0,Match
26-01-2023,0,926960,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,78950,78950,0,Match
27-01-2023,1,605563,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,68480,11742,56738,Break
27-01-2023,3,107844,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,79271,79271,0,Match
28-01-2023,0,285384,62695,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,87987,87987,0,Match
29-01-2023,0,959126,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,79202,77534,1668,Break
29-01-2023,1,605563,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,34420,34420,0,Match
29-01-2023,0,221956,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,58171,58171,0,Match
29-01-2023,0,959126,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,47608,47608,0,Match
30-01-2023,3,350824,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,37772,37772,0,Match
30-01-2023,1,851591,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,35038,35038,0,Match
31-01-2023,2,791584,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,75515,75515,0,Match
02-02-2023,1,287558,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,84028,84028,0,Match
02-02-2023,2,812567,62695,USD,ALL OTHER DEFERRED,ALL OTHER DEFERRED,89161,89161,0,Match
03-02-2023,2,791584,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,85370,85370,0,Match
03-02-2023,3,107844,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,8901,53702,-44801,Break
03-02-2023,3,350824,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,52838,52838,0,Match
04-02-2023,1,851591,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,89901,89901,0,Match
05-02-2023,3,618986,4929,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,8648,79164,-70516,Break
05-02-2023,0,926960,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,22670,22670,0,Match
05-02-2023,2,791584,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,18623,18623,0,Match
06-02-2023,3,107844,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,31726,99135,-67409,Break
08-02-2023,0,232256,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,36051,74699,-38648,Break
08-02-2023,3,107844,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,6208,6208,0,Match
08-02-2023,0,926960,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,47293,47293,0,Match
10-02-2023,0,593032,62695,GBP,ALL OTHER DEFERRED,ALL OTHER DEFERRED,47260,47260,0,Match
11-02-2023,0,221956,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,76584,92689,-16105,Break
11-02-2023,1,605563,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,7420,83503,-76083,Break
12-02-2023,1,851591,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,84444,84444,0,Match
13-02-2023,0,593032,62695,GBP,ALL OTHER DEFERRED,ALL OTHER DEFERRED,81144,81144,0,Match
14-02-2023,3,350824,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,82682,82682,0,Match
14-02-2023,2,731067,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,57546,57546,0,Match
14-02-2023,0,232256,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,38660,38660,0,Match
14-02-2023,0,959126,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,59190,59190,0,Match
14-02-2023,3,107844,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,84202,74916,9286,Break
15-02-2023,0,941109,4929,USD,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,11159,35181,-24022,Break
15-02-2023,0,926960,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,41454,14496,26958,Break
16-02-2023,3,954576,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,26495,26495,0,Match
17-02-2023,0,959126,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,93008,47334,45674,Break
19-02-2023,0,285384,62695,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,73334,39677,33657,Break
19-02-2023,0,941109,4929,USD,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,69282,69282,0,Match
19-02-2023,0,959126,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,77778,77778,0,Match
19-02-2023,3,954576,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,27771,27771,0,Match
20-02-2023,1,605563,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,98322,98322,0,Match
20-02-2023,0,221956,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,99203,99203,0,Match
21-02-2023,1,521127,62695,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,16325,16325,0,Match
21-02-2023,2,812567,62695,USD,ALL OTHER DEFERRED,ALL OTHER DEFERRED,97759,99782,-2023,Break
22-02-2023,1,287558,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,90838,90838,0,Match
23-02-2023,0,232256,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,78000,78000,0,Match
24-02-2023,2,812567,62695,USD,ALL OTHER DEFERRED,ALL OTHER DEFERRED,9481,9481,0,Match
24-02-2023,0,926960,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,33810,33810,0,Match
24-02-2023,0,232256,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,91856,91856,0,Match
25-02-2023,0,232256,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,16944,3889,13055,Break
25-02-2023,0,941109,4929,USD,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,1646,1646,0,Match
25-02-2023,1,287558,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,70499,70499,0,Match
26-02-2023,2,812567,62695,USD,ALL OTHER DEFERRED,ALL OTHER DEFERRED,63485,63485,0,Match
26-02-2023,3,618986,4929,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,7520,7520,0,Match
27-02-2023,0,232256,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,20959,20959,0,Match
27-02-2023,0,221956,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,71872,9934,61938,Break
02-03-2023,0,941109,4929,USD,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,41741,1582,40159,Break
02-03-2023,1,521127,62695,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,71607,71607,0,Match
02-03-2023,2,791584,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,69001,69001,0,Match
02-03-2023,0,221956,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,89587,89587,0,Match
03-03-2023,3,107844,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,95654,68822,26832,Break
03-03-2023,1,287558,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,17055,51333,-34278,Break
04-03-2023,3,350824,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,98410,98410,0,Match
06-03-2023,2,812567,62695,USD,ALL OTHER DEFERRED,ALL OTHER DEFERRED,12892,12892,0,Match
07-03-2023,1,521127,62695,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,57852,57852,0,Match
07-03-2023,0,941109,4929,USD,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,53250,89908,-36658,Break
08-03-2023,1,851591,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,91886,91886,0,Match
08-03-2023,3,954576,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,89659,55499,34160,Break
08-03-2023,1,521127,62695,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,513,91563,-91050,Break
10-03-2023,3,350824,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,84788,84788,0,Match
10-03-2023,3,350824,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,97626,97626,0,Match
10-03-2023,0,232256,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,50969,50969,0,Match
11-03-2023,2,791584,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,77807,77807,0,Match
12-03-2023,0,408013,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,57079,57079,0,Match
12-03-2023,3,107844,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,81629,81629,0,Match
12-03-2023,3,350824,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,37462,37462,0,Match
13-03-2023,0,926960,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,52211,52211,0,Match
14-03-2023,3,954576,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,15774,15542,232,Break
15-03-2023,0,232256,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,37548,37548,0,Match
15-03-2023,0,926960,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,81759,28800,52959,Break
15-03-2023,3,618986,4929,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,3583,26287,-22704,Break
16-03-2023,1,521127,62695,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,4032,4032,0,Match
16-03-2023,0,593032,62695,GBP,ALL OTHER DEFERRED,ALL OTHER DEFERRED,43386,68550,-25164,Break
16-03-2023,0,941109,4929,USD,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,58941,24611,34330,Break
16-03-2023,3,350824,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,60133,60133,0,Match
16-03-2023,0,593032,62695,GBP,ALL OTHER DEFERRED,ALL OTHER DEFERRED,40591,40591,0,Match
17-03-2023,0,861486,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,75213,75213,0,Match
17-03-2023,1,605563,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,88906,39534,49372,Break
17-03-2023,3,350824,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,17066,17066,0,Match
18-03-2023,0,408013,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,7951,7951,0,Match
18-03-2023,0,232256,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,321,321,0,Match
20-03-2023,2,731067,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,76484,76484,0,Match
20-03-2023,3,107844,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,71322,71322,0,Match
21-03-2023,0,285384,62695,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,9012,15842,-6830,Break
21-03-2023,0,861486,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,32883,32883,0,Match
21-03-2023,0,221956,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,73965,73965,0,Match
21-03-2023,3,618986,4929,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,65258,65258,0,Match
22-03-2023,0,959126,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,1422,1422,0,Match
22-03-2023,3,107844,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,83019,83019,0,Match
23-03-2023,2,791584,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,37923,14802,23121,Break
23-03-2023,1,851591,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,24395,24395,0,Match
24-03-2023,0,232256,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,19240,19240,0,Match
24-03-2023,1,605563,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,4207,4207,0,Match
26-03-2023,0,408013,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,70140,70140,0,Match
26-03-2023,3,107844,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,26034,26034,0,Match
27-03-2023,2,731067,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,31982,31982,0,Match
27-03-2023,0,593032,62695,GBP,ALL OTHER DEFERRED,ALL OTHER DEFERRED,53474,33974,19500,Break
28-03-2023,0,232256,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,14656,14656,0,Match
29-03-2023,1,605563,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,34844,34844,0,Match
29-03-2023,0,861486,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,29679,29679,0,Match
29-03-2023,2,731067,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,71389,71389,0,Match
29-03-2023,1,521127,62695,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,14386,14386,0,Match
30-03-2023,0,221956,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,88550,88550,0,Match
30-03-2023,0,959126,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,17475,17475,0,Match
30-03-2023,0,861486,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,25353,26456,-1103,Break
31-03-2023,2,812567,62695,USD,ALL OTHER DEFERRED,ALL OTHER DEFERRED,24658,24658,0,Match
31-03-2023,1,605563,4398,GBP,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,30694,30694,0,Match
02-04-2023,0,285384,62695,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,15632,25892,-10260,Break
02-04-2023,0,408013,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER PRINCIPAL,10514,95627,-85113,Break
03-04-2023,0,926960,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,68530,66929,1601,Break
03-04-2023,3,954576,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,35724,35724,0,Match
03-04-2023,3,107844,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,56196,47079,9117,Break
03-04-2023,3,618986,4929,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,28482,28482,0,Match
04-04-2023,3,954576,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,1864,62336,-60472,Break
04-04-2023,2,791584,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,80015,80015,0,Match
04-04-2023,0,221956,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,62002,62002,0,Match
05-04-2023,1,521127,62695,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,71747,71747,0,Match
05-04-2023,0,926960,62695,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,61482,63283,-1801,Break
05-04-2023,1,851591,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,10223,10223,0,Match
06-04-2023,3,350824,4929,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,10638,10638,0,Match
06-04-2023,3,618986,4929,EUR,ALL OTHER DEFERRED,ALL OTHER PRINCIPAL,33812,33812,0,Match
07-04-2023,2,812567,62695,USD,ALL OTHER DEFERRED,ALL OTHER DEFERRED,76207,27181,49026,Break
07-04-2023,3,107844,4929,GBP,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,84980,34796,50184,Break
08-04-2023,3,954576,4398,EUR,ALL OTHER PRINCIPAL,ALL OTHER DEFERRED,23325,23325,0,Match
08-04-2023,1,851591,62695,EUR,ALL OTHER DEFERRED,ALL OTHER DEFERRED,63471,63471,0,Match
